id,url,length,title,added,cat,rabi,uploaded,youtube_url
14434,/BIS/Achila/Achila - Cavanot 23-07-02.mp4,27:35:00,"תשפ""ג - כוונות האכילה - שיעור 02",7/2/2023 0:00,כוונות האכילה,הרב יהושע ביסמוט,yes,https://youtu.be/XugxXBo_T8s
14430,/BIS/Achila/Achila - Cavanot 23-07-03.mp4,36:51:00,"תשפ""ג - כוונות האכילה - שיעור 03",7/3/2023 0:00,כוונות האכילה,הרב יהושע ביסמוט
14447,/BIS/Achila/Achila - Cavanot 23-07-10.mp4,33:29:00,"תשפ""ג - כוונות האכילה - שיעור 04",7/10/2023 0:00,כוונות האכילה,הרב יהושע ביסמוט
14458,/BIS/Achila/Achila - Cavanot 23-07-16.mp4,26:48:00,"תשפ""ג - כוונות האכילה - שיעור 05",7/16/2023 0:00,כוונות האכילה,הרב יהושע ביסמוט
